time,open,high,low,close,Volume
1761926400,4012.55,4015.3,3978.35,3979.21,18131
1761927300,3979.36,3990.465,3972.285,3986.11,22046
1761928200,3986.08,3990.5,3981.85,3984.6,13805
1761929100,3984.565,3986.975,3978.76,3980.72,14894
1761930000,3980.735,3990.945,3980.64,3983.03,11256
1761930900,3983.025,3987.94,3981.335,3984.74,11455
1761931800,3984.72,3999.615,3980.575,3998.63,12024
1761932700,3998.65,4003.835,3996.65,3997.635,11565
1761933600,3997.625,4007.57,3995.505,4006.95,6473
1761934500,4006.935,4010.08,4005.375,4008.51,5885
1761935400,4008.52,4009.085,4002.75,4004,4407
1761936300,4003.95,4006.225,3999.485,3999.92,5735
1761937200,3999.93,4005.475,3998.96,4000.23,6466
1761938100,4000.23,4002.29,3991.205,4001.635,7392
1761939000,4001.72,4001.775,3994.845,3999.345,5395
1761939900,3999.34,4002.3,3996.15,4001.43,8321
1761940800,4001.405,4001.54,3996.28,3998.62,1220
1761941700,3998.74,4002.44,3997.28,4002.025,775
1761942600,4001.94,4006.74,4001.66,4003.895,1895
1761943500,4003.95,4004.99,4001.68,4002.81,2484
1762124400,3995.47,3996.8,3990.91,3996.075,1850
1762125300,3996.185,3999.335,3988.595,3994.68,2427
1762126200,3994.53,3995.865,3978.08,3979.055,4420
1762127100,3979.095,3985.305,3977.91,3979.67,3468
1762128000,3979.605,3988.505,3966.19,3968.29,4255
1762128900,3968.255,3973.38,3962.275,3970.965,6986
1762129800,3970.955,3977.915,3963.28,3972.79,5859
1762130700,3972.69,3977.05,3967.845,3970.755,6151
1762131600,3970.76,3989.455,3965.28,3986.72,12384
1762132500,3986.715,3999.89,3986.62,3998.95,8831
1762133400,3998.89,4002.075,3990.265,3992.14,7157
1762134300,3992.12,4000.295,3990.25,3996.09,6333
1762135200,3996.055,3998.785,3990.445,3995.08,3597
1762136100,3995.065,4006.7,3994.93,3995.805,6168
1762137000,3995.84,4006.265,3995.25,4001.6,6805
1762137900,4001.86,4006.485,3997.845,4004.21,4354
1762138800,4004.265,4011.585,4002.2,4007.765,8644
1762139700,4007.79,4010.605,4005.54,4006.1,5937
1762140600,4006.105,4013.33,4005.47,4010.86,2788
1762141500,4010.97,4015.45,4010.96,4011.29,2559
1762142400,4011.295,4014.53,4006.825,4009.62,3870
1762143300,4009.585,4009.835,4001.85,4005.62,3160
1762144200,4005.555,4007.95,4002.69,4006.99,2511
1762145100,4006.96,4007.545,4002.76,4003.7,2637
1762146000,4003.71,4010.08,3997.705,4006.975,6397
1762146900,4006.98,4012.91,4004.855,4012.04,2738
1762147800,4012.015,4018.33,4012,4014.85,7133
1762148700,4014.855,4016.92,4011.195,4013.935,4501
1762149600,4013.93,4016.755,4010.03,4014.71,5927
1762150500,4014.615,4018.705,4013.24,4016.565,5915
1762151400,4016.585,4018.03,4013.25,4015.64,5543
1762152300,4015.62,4018.795,4013.93,4017.635,5103
1762153200,4017.64,4023.67,4015.165,4015.37,8545
1762154100,4015.375,4020.65,4013.62,4019.115,5670
1762155000,4019.055,4023.295,4015.715,4022.345,6638
1762155900,4022.275,4026.045,4020.51,4025.185,8980
1762156800,4025.195,4028.13,4020.69,4021.705,10048
1762157700,4021.675,4023.62,4011.215,4014.51,7452
1762158600,4014.515,4017.67,4011.955,4016.705,8537
